ID	pre_st	pre_ed	pre_t_v	pre_t_p	tem_st	tem_ed	tem_t_v
56317	19790501	20150228	-4.78	-0.69	19790501	20150228	0.39
56331	19780101	20200103	11.90	2.65	19780101	20200103	0.38
56342	19790101	20150228	36.65	6.28	19790101	20150228	0.40
56357	19570101	20200103	4.19	0.65	19570104	20200103	0.32
56371	19600101	20150228	11.17	1.70	19600102	20150228	0.08
56374	19511101	20200103	16.03	1.91	19511102	20200103	0.14
56378	19590101	20150228	-41.83	-5.01	19590101	20150228	0.13
56434	19690101	20200103	-14.57	-1.85	19690101	20200103	0.16
56441	19600101	20150228	10.55	3.13	19600101	20150228	0.12
56443	19600101	20150228	6.32	1.34	19600101	20150228	0.12
56444	19530801	20200103	-5.99	-0.93	19530802	20200103	0.33
56459	19590601	20200103	-10.10	-1.23	19590601	20200103	0.72
56462	19520701	20200103	5.79	0.64	19520702	20200103	0.18
56474	19570101	20150228	-2.71	-0.25	19570101	20150228	0.02
56475	19530401	20200103	-1.27	-0.11	19530402	20200103	-0.00
56478	19590301	20150228	1.92	0.19	19590301	20150228	0.08
56533	19580101	20200103	3.99	0.23	19580101	20200103	0.21
56543	19580101	20200103	2.64	0.42	19580101	20200103	0.33
56548	19540401	20200103	-4.61	-0.49	19540401	20200103	0.12
56565	19561201	20200103	-4.52	-0.56	19561201	20200103	0.04
56567	19581101	20150228	-6.22	-0.68	19581101	20150228	0.00
56641	19581201	20150228	-1.76	-0.12	19581201	20150228	0.09
56645	19561101	20150228	-16.92	-1.72	19561101	20150228	0.06
56651	19510101	20200103	2.19	0.23	19510102	20200103	0.20
56652	19570101	20150228	-1.52	-0.16	19570101	20150228	0.13
56654	19581101	20150228	-3.15	-0.33	19581101	20150228	0.15
56664	19561201	20200103	8.13	0.76	19561201	20200103	0.01
56674	19710101	20150228	-26.43	-3.39	19710101	20150228	0.33
56752	19540701	20150228	-8.86	-1.59	19540701	20150228	0.21
56756	19580901	20150228	-11.43	-1.42	19580901	20150228	0.14
